Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C51,0.1uF,C_0402_1005Metric,71.7296,10.7696,180.0,top
C52,0.1uF,C_0402_1005Metric,62.5856,9.8552,-90.0,top
C53,0.1uF,C_0402_1005Metric,69.1896,12.9286,-90.0,top
C54,0.1uF,C_0402_1005Metric,37.592,3.81,45.0,top
C55,0.1uF,C_0402_1005Metric,64.9706,5.207,0.0,top
C56,0.1uF,C_0402_1005Metric,47.498,3.5814,90.0,top
C57,10uF,C_0402_1005Metric,73.533,8.763,-90.0,top
C58,10uF,C_0402_1005Metric,64.9986,14.5288,-90.0,top
C59,0.1uF,C_0402_1005Metric,66.0146,13.5636,-90.0,top
C6,0.1uF,C_0402_1005Metric,32.131,17.526,0.0,top
C60,0.1uF,C_0402_1005Metric,72.517,8.763,-90.0,top
C61,0.1uF,C_0402_1005Metric,49.7332,22.5552,-90.0,top
C62,0.1uF,C_0402_1005Metric,43.025,23.114,180.0,top
C63,0.1uF,C_0402_1005Metric,34.671,23.368,-90.0,top
C64,0.1uF,C_0402_1005Metric,50.419,6.096,180.0,top
C65,0.1uF,C_0402_1005Metric,32.131,13.6652,0.0,top
C66,0.1uF,C_0402_1005Metric,75.311,37.465,-90.0,top
C67,0.1uF,C_0402_1005Metric,74.041,37.465,-90.0,top
C68,10uF,C_0402_1005Metric,34.7472,-1.3716,90.0,top
C69,"1uF,50V",C_0603_1608Metric,34.7472,-3.81,-90.0,top
C7,0.1uF,C_0402_1005Metric,50.419,5.08,180.0,top
C70,1uF,C_0402_1005Metric,49.911,-8.89,-90.0,top
C71,1uF,C_0402_1005Metric,48.895,-8.89,-90.0,top
C72,1uF,C_0402_1005Metric,73.7134,-9.525,0.0,top
C73,1uF,C_0402_1005Metric,73.7134,-14.097,180.0,top
C74,0.1uF,C_0402_1005Metric,74.803,-0.171,0.0,top
C75,1uF,C_0402_1005Metric,67.564,-1.905,90.0,top
C76,1uF,C_0402_1005Metric,72.263,-0.889,-90.0,top
C77,1uF,C_0402_1005Metric,74.803,-2.457,0.0,top
C78,0R,C_0402_1005Metric,71.755,2.413,180.0,top
C79,NC,C_0402_1005Metric,74.427,4.386,90.0,top
C8,0.1uF,C_0402_1005Metric,46.1772,3.5814,90.0,top
C9,0.1uF,C_0402_1005Metric,32.131,10.541,0.0,top
CY_J1,Conn_02x10_Odd_Even,PinSocket_2x10_P2.54mm_Vertical,14.67058,14.224,90.0,top
CY_J2,Conn_02x10_Odd_Even,PinSocket_2x10_P2.54mm_Vertical,14.67058,-13.716,90.0,top
D1,LED_RED,LED_0603_1608Metric,69.467,41.021,0.0,top
D2,LED_BLUE,LED_0603_1608Metric,69.467,39.243,0.0,top
D3,LED_GREEN,LED_0603_1608Metric,56.515,20.32,180.0,top
D4,LED_YELLOW,LED_0603_1608Metric,69.467,37.465,0.0,top
D8,1N5819(S4),D_SOD-323_BAT60,32.0802,-4.8006,180.0,top
